"player_name","birthdate","birthplace","weight","height","bats","throws","debut","age_at_debut","finalgame","career_length"
"Bruce Berenyi","1954-08-21","Bryan, OH",205,"75","R","R","1980-07-05","25 years 10 mons 15 days","1986-07-09","6 years 4 days"
"Guy Curtright","1912-10-18","Holliday, MO",200,"71","R","R","1943-04-21","30 years 6 mons 3 days","1946-07-18","3 years 2 mons 27 days"
"Al Nipper","1959-04-02","San Diego, CA",188,"72","R","R","1983-09-06","24 years 5 mons 4 days","1990-07-16","6 years 10 mons 10 days"
"Dave Wehrmeister","1952-11-09","Berwyn, IL",195,"76","R","R","1976-04-16","23 years 5 mons 7 days","1985-10-04","9 years 5 mons 18 days"
